similarity,name,label,study,domain,sub_domain,source,metric,atlas,table_name,table_label,instruction,header,note,unit,type_var,type_data,type_level,type_field,order_display,branching_logic,label_es,instruction_es,header_es,note_es,table_nda,table_nda_5_0,table_redcap,name_nda,name_deap,name_redcap,name_redcap_exp,url_table,url_warn_use,url_warn_data,url_table_warn_use,url_table_warn_data,url_docs_score,name_short,name_stata,identifier_columns,image_assessment,image_brain,json_brain,order_sort
0.411,mh_y_ksads__cond__onset__adoles__past_dx,"Diagnosis: Conduct disorder, adolescent onset (F91.2) - Past [Youth]",Core,Mental Health,Externalizing,Youth,,,mh_y_ksads__cond,KSADS - Conduct Disorder [Youth],,,,,summary score,character,nominal,,,,,,,,abcd_ksad501 | ksads2daic_use_only01,mh_y_ksads_ss,,ksads_16_900_t | ksads2_16_858_t,ksads2_16_858_y,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_y_ksads,,,,,,mh_y_ksads__cond__onset__adoles__past_dx,mh_y_ksads_cond_0032,participant_id | session_id,,,,32
0.41,mh_p_ksads__suic__atmpt__pres_dx,Diagnosis: Suicide attempt - Present [Parent],Core,Mental Health,Harm,Parent,,,mh_p_ksads__suic,KSADS - Suicidality [Parent],,,,,summary score,character,nominal,,,,,,,,abcd_ksad01 | ksads2daic_use_only_p01,mh_p_ksads_ss,,ksads_23_954_p | ksads2_23_914_p,ksads2_23_914_p,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__suic__atmpt__pres_dx,mh_p_ksads_suic_0043,participant_id | session_id,,,,43
0.409,mh_p_ksads__ed__an__restrict__partrem_dx,"Diagnosis: Anorexia nervosa, restricting subtype (F50.01) - Partial remission [Parent]",Core,Mental Health,Eating,Parent,,,mh_p_ksads__ed,KSADS - Eating Disorders [Parent],,,,,summary score,character,nominal,,,,,,,,abcd_ksad01 | ksads2daic_use_only_p01,mh_p_ksads_ss,,ksads_13_933_p | ksads2_13_894_p,ksads2_13_894_p,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__ed__an__restrict__partrem_dx,mh_p_ksads_ed_0028,participant_id | session_id,,,,28
0.409,mh_p_ksads__tic__ts__pres_dx,Diagnosis: Tourette's disorder (F95.2) - Present [Parent],Core,Mental Health,Tics,Parent,,,mh_p_ksads__tic,KSADS - Tic Disorders [Parent],,,,,summary score,character,nominal,,,,,,,,,,,,,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__tic__ts__pres_dx,mh_p_ksads_tic_0014,participant_id | session_id,,,,14
0.409,mh_p_ksads__ed__an__restrict__past_dx,"Diagnosis: Anorexia nervosa, restricting subtype (F50.01) - Past [Parent]",Core,Mental Health,Eating,Parent,,,mh_p_ksads__ed,KSADS - Eating Disorders [Parent],,,,,summary score,character,nominal,,,,,,,,abcd_ksad01 | ksads2daic_use_only_p01,mh_p_ksads_ss,,ksads_13_934_p | ksads2_13_895_p,ksads2_13_895_p,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__ed__an__restrict__past_dx,mh_p_ksads_ed_0026,participant_id | session_id,,,,26
0.409,mh_p_ksads__suic__slfinj__nosi__past_dx,"Diagnosis: Self injurious behavior, without suicidal intent - Past [Parent]",Core,Mental Health,Harm,Parent,,,mh_p_ksads__suic,KSADS - Suicidality [Parent],,,,,summary score,character,nominal,,,,,,,,abcd_ksad01 | ksads2daic_use_only_p01,mh_p_ksads_ss,,ksads_23_956_p | ksads2_23_916_p,ksads2_23_916_p,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__suic__slfinj__nosi__past_dx,mh_p_ksads_suic_0050,participant_id | session_id,,,,50
0.408,mh_p_ksads__ptsd__partrem_dx,Diagnosis: Post-traumatic stress disorder (F43.10) - Partial remission [Parent],Core,Mental Health,Stress,Parent,,,mh_p_ksads__ptsd,KSADS - Post-Traumatic Stress Disorder [Parent],,,,,summary score,character,nominal,,,,,,,,ksads2daic_use_only_p01,mh_p_ksads_ss,,ksads2_21_882_p,ksads2_21_882_p,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__ptsd__partrem_dx,mh_p_ksads_ptsd_0058,participant_id | session_id,,,,58
0.408,mh_p_ksads__ed__binge__past_dx,Diagnosis: Binge eating disorder (F50.8) - Past [Parent],Core,Mental Health,Eating,Parent,,,mh_p_ksads__ed,KSADS - Eating Disorders [Parent],,,,,summary score,character,nominal,,,,,,,,abcd_ksad01 | ksads2daic_use_only_p01,mh_p_ksads_ss,,ksads_13_940_p | ksads2_13_900_p,ksads2_13_900_p,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__ed__binge__past_dx,mh_p_ksads_ed_0031,participant_id | session_id,,,,31
0.407,mh_p_ksads__panic__partrem_dx,Diagnosis: Panic disorder (F41.0) - Partial remission [Parent],Core,Mental Health,Anxiety,Parent,,,mh_p_ksads__panic,KSADS - Panic Disorder [Parent],,,,,summary score,character,nominal,,,,,,,,ksads2daic_use_only_p01,mh_p_ksads_ss,,ksads2_5_815_p,ksads2_5_815_p,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__panic__partrem_dx,mh_p_ksads_panic_0016,participant_id | session_id,,,,16
0.407,mh_p_ksads__adhd__pres_dx,Diagnosis: Attention-deficit/hyperactivity disorder - Present [Parent],Core,Mental Health,Externalizing,Parent,,,mh_p_ksads__adhd,KSADS - Attention-Deficit/Hyperactivity Disorder [Parent],,,,,summary score,character,nominal,,,,,,,,abcd_ksad01 | ksads2daic_use_only_p01,mh_p_ksads_ss,,ksads_14_853_p | ksads2_14_809_p,ksads2_14_809_p,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__adhd__pres_dx,mh_p_ksads_adhd_0046,participant_id | session_id,,,,46
0.407,mh_p_ksads__suic__actv__plan__past_dx,"Diagnosis: Suicidal ideation, active plan - Past [Parent]",Core,Mental Health,Harm,Parent,,,mh_p_ksads__suic,KSADS - Suicidality [Parent],,,,,summary score,character,nominal,,,,,,,,abcd_ksad01 | ksads2daic_use_only_p01,mh_p_ksads_ss,,ksads_23_961_p | ksads2_23_921_p,ksads2_23_921_p,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__suic__actv__plan__past_dx,mh_p_ksads_suic_0034,participant_id | session_id,,,,34
0.407,su_p_ksads__dud__coc__pres_dx,Diagnosis: Stimulant use disorder: Cocaine - Present [Parent],Core,Substance Use,SU Consequence,Parent,,,su_p_ksads__dud,KSADS - Drug Use Disorders [Parent],,,,,summary score,character,nominal,,,,,,,,abcd_ksad01 | ksads2daic_use_only_p01,mh_p_ksads_ss,,ksads_20_874_p | ksads2_20_832_p,ksads2_20_832_p,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/su.html#su_p_ksads__dud,,,,,,su_p_ksads__dud__coc__pres_dx,su_p_ksads_dud_0339,participant_id | session_id,,,,339
0.407,mh_p_ksads__adhd__past_dx,Diagnosis: Attention-deficit/hyperactivity disorder - Past [Parent],Core,Mental Health,Externalizing,Parent,,,mh_p_ksads__adhd,KSADS - Attention-Deficit/Hyperactivity Disorder [Parent],,,,,summary score,character,nominal,,,,,,,,abcd_ksad01 | ksads2daic_use_only_p01,mh_p_ksads_ss,,ksads_14_854_p | ksads2_14_810_p,ksads2_14_810_p,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__adhd__past_dx,mh_p_ksads_adhd_0045,participant_id | session_id,,,,45
0.407,su_y_ksads__dud__hall__past_dx,Diagnosis: Hallucinogen use disorder - Past [Youth],Core,Substance Use,SU Consequence,Youth,,,su_y_ksads__dud,KSADS - Drug Use Disorders [Youth],,,,,summary score,character,nominal,,,,,,,,abcd_ksad501 | ksads2daic_use_only01,mh_y_ksads_ss,,ksads_20_885_t | ksads2_20_843_t,ksads2_20_843_y,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/su.html#su_y_ksads__dud,,,,,,su_y_ksads__dud__hall__past_dx,su_y_ksads_dud_0340,participant_id | session_id,,,,340
0.407,mh_y_ksads__suic__slfinj__nosi__past_dx,"Diagnosis: Self injurious behavior, without suicidal intent - Past [Youth]",Core,Mental Health,Harm,Youth,,,mh_y_ksads__suic,KSADS - Suicidality [Youth],,,,,summary score,character,nominal,,,,,,,,abcd_ksad501 | ksads2daic_use_only01,mh_y_ksads_ss,,ksads_23_956_t | ksads2_23_916_t,ksads2_23_916_y,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_y_ksads,,,,,,mh_y_ksads__suic__slfinj__nosi__past_dx,mh_y_ksads_suic_0050,participant_id | session_id,,,,50
0.406,su_y_ksads__dud__coc__past_dx,Diagnosis: Stimulant use disorder: Cocaine - Past [Youth],Core,Substance Use,SU Consequence,Youth,,,su_y_ksads__dud,KSADS - Drug Use Disorders [Youth],,,,,summary score,character,nominal,,,,,,,,abcd_ksad501 | ksads2daic_use_only01,mh_y_ksads_ss,,ksads_20_883_t | ksads2_20_841_t,ksads2_20_841_y,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/su.html#su_y_ksads__dud,,,,,,su_y_ksads__dud__coc__past_dx,su_y_ksads_dud_0338,participant_id | session_id,,,,338
0.403,su_y_ksads__dud__inh__pres_dx,Diagnosis: Inhalant use disorder - Present [Youth],Core,Substance Use,SU Consequence,Youth,,,su_y_ksads__dud,KSADS - Drug Use Disorders [Youth],,,,,summary score,character,nominal,,,,,,,,abcd_ksad501 | ksads2daic_use_only01,mh_y_ksads_ss,,ksads_20_878_t | ksads2_20_835_t,ksads2_20_835_y,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/su.html#su_y_ksads__dud,,,,,,su_y_ksads__dud__inh__pres_dx,su_y_ksads_dud_0345,participant_id | session_id,,,,345
0.402,mh_p_ksads__cond__onset__adoles__pres_dx,"Diagnosis: Conduct disorder, adolescent onset (F91.2) - Present [Parent]",Core,Mental Health,Externalizing,Parent,,,mh_p_ksads__cond,KSADS - Conduct Disorder [Parent],,,,,summary score,character,nominal,,,,,,,,abcd_ksad01 | ksads2daic_use_only_p01,mh_p_ksads_ss,,ksads_16_898_p | ksads2_16_856_p,ksads2_16_856_p,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__cond__onset__adoles__pres_dx,mh_p_ksads_cond_0033,participant_id | session_id,,,,33
0.401,mh_p_ksads__ed__binge__partrem_dx,Diagnosis: Binge eating disorder (F50.8) - Partial remission [Parent],Core,Mental Health,Eating,Parent,,,mh_p_ksads__ed,KSADS - Eating Disorders [Parent],,,,,summary score,character,nominal,,,,,,,,abcd_ksad01,mh_p_ksads_ss,,ksads_13_939_p,,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__ed__binge__partrem_dx,mh_p_ksads_ed_0033,participant_id | session_id,,,,33
