similarity,name,label,study,domain,sub_domain,source,metric,atlas,table_name,table_label,instruction,header,note,unit,type_var,type_data,type_level,type_field,order_display,branching_logic,label_es,instruction_es,header_es,note_es,table_nda,table_nda_5_0,table_redcap,name_nda,name_deap,name_redcap,name_redcap_exp,url_table,url_warn_use,url_warn_data,url_table_warn_use,url_table_warn_data,url_docs_score,name_short,name_stata,identifier_columns,image_assessment,image_brain,json_brain,order_sort
0.444,mh_y_ksads__ptsd__past_dx,Diagnosis: Post-traumatic stress disorder (F43.10) - Past [Youth],Core,Mental Health,Stress,Youth,,,mh_y_ksads__ptsd,KSADS - Post-Traumatic Stress Disorder [Youth],,,,,summary score,character,nominal,,,,,,,,abcd_ksad501 | ksads2daic_use_only01,mh_y_ksads_ss,,ksads_21_922_t | ksads2_21_883_t,ksads2_21_883_y,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_y_ksads,,,,,,mh_y_ksads__ptsd__past_dx,mh_y_ksads_ptsd_0056,participant_id | session_id,,,,56
0.444,mh_p_ksads__ed__binge__oth__mindur__pres_dx,"Diagnosis: Other specified feeding or eating disorder, binge eating disorder (low frequency or limited duration) (F50.8) - Present [Parent]",Core,Mental Health,Eating,Parent,,,mh_p_ksads__ed,KSADS - Eating Disorders [Parent],,,,,summary score,character,nominal,,,,,,,,abcd_ksad01 | ksads2daic_use_only_p01,mh_p_ksads_ss,,ksads_13_944_p | ksads2_13_904_p,ksads2_13_904_p,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__ed__binge__oth__mindur__pres_dx,mh_p_ksads_ed_0035,participant_id | session_id,,,,35
0.444,mh_y_ksads__bpd__bpd2__oth__mindur_dx,"Diagnosis: Other specified bipolar and related disorder, meets criteria for bipolar II disorder (impairment does not meet minimum duration) (F31.9) [Youth]",Core,Mental Health,Mood,Youth,,,mh_y_ksads__bpd,KSADS - Bipolar Disorders [Youth],,,,,summary score,character,nominal,,,,,,,,ksads2daic_use_only01,mh_y_ksads_ss,,ksads2_2_803_t,ksads2_2_803_y,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_y_ksads,,,,,,mh_y_ksads__bpd__bpd2__oth__mindur_dx,mh_y_ksads_bpd_0057,participant_id | session_id,,,,57
0.443,mh_p_ksads__ed__bulim__oth__mindur__past_dx,"Diagnosis: Other specified feeding or eating disorder, bulimia nervosa (low frequency or limited duration) (F50.8) - Past [Parent]",Core,Mental Health,Eating,Parent,,,mh_p_ksads__ed,KSADS - Eating Disorders [Parent],,,,,summary score,character,nominal,,,,,,,,abcd_ksad01 | ksads2daic_use_only_p01,mh_p_ksads_ss,,ksads_13_943_p | ksads2_13_903_p,ksads2_13_903_p,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__ed__bulim__oth__mindur__past_dx,mh_p_ksads_ed_0039,participant_id | session_id,,,,39
0.442,mh_y_ksads__cond__onset__chld__pres_dx,"Diagnosis: Conduct disorder, childhood onset (F91.1) - Present [Youth]",Core,Mental Health,Externalizing,Youth,,,mh_y_ksads__cond,KSADS - Conduct Disorder [Youth],,,,,summary score,character,nominal,,,,,,,,abcd_ksad501 | ksads2daic_use_only01,mh_y_ksads_ss,,ksads_16_897_t | ksads2_16_855_t,ksads2_16_855_y,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_y_ksads,,,,,,mh_y_ksads__cond__onset__chld__pres_dx,mh_y_ksads_cond_0035,participant_id | session_id,,,,35
0.442,mh_p_ksads__psych__aps__past_dx,Diagnosis: Associated psychotic symptoms - Past [Parent],Core,Mental Health,Psychosis,Parent,,,mh_p_ksads__psych,KSADS - Psychosis [Parent],,,,,summary score,character,nominal,,,,,,,,abcd_ksad01,mh_p_ksads_ss,,ksads_4_850_p,,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__psych__aps__past_dx,mh_p_ksads_psych_0049,participant_id | session_id,,,,49
0.442,mh_p_ksads__sepanx__oth__past_dx,"Diagnosis: Other specified anxiety disorder, separation anxiety disorder (impairment does not meet full criteria) (F41.8) - Past [Parent]",Core,Mental Health,Anxiety,Parent,,,mh_p_ksads__sepanx,KSADS - Separation Anxiety [Parent],,,,,summary score,character,nominal,,,,,,,,abcd_ksad01 | ksads2daic_use_only_p01,mh_p_ksads_ss,,ksads_7_910_p | ksads2_7_870_p,ksads2_7_870_p,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__sepanx__oth__past_dx,mh_p_ksads_sepanx_0028,participant_id | session_id,,,,28
0.441,mh_y_ksads__ed__binge__past_dx,Diagnosis: Binge eating disorder (F50.8) - Past [Youth],Core,Mental Health,Eating,Youth,,,mh_y_ksads__ed,KSADS - Eating Disorders [Youth],,,,,summary score,character,nominal,,,,,,,,abcd_ksad501 | ksads2daic_use_only01,mh_y_ksads_ss,,ksads_13_940_t | ksads2_13_900_t,ksads2_13_900_y,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_y_ksads,,,,,,mh_y_ksads__ed__binge__past_dx,mh_y_ksads_ed_0031,participant_id | session_id,,,,31
0.441,mh_p_ksads__ed__an__oth__pres_dx,"Diagnosis: Other specified feeding or eating disorder, atypical anorexia nervosa (F50.8) - Present [Parent]",Core,Mental Health,Eating,Parent,,,mh_p_ksads__ed,KSADS - Eating Disorders [Parent],,,,,summary score,character,nominal,,,,,,,,abcd_ksad01 | ksads2daic_use_only_p01,mh_p_ksads_ss,,ksads_13_941_p | ksads2_13_901_p,ksads2_13_901_p,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__ed__an__oth__pres_dx,mh_p_ksads_ed_0030,participant_id | session_id,,,,30
0.441,su_p_ksads__dud__illdrg__pres_dx,Diagnosis: Other drugs use disorder - Present [Parent],Core,Substance Use,SU Consequence,Parent,,,su_p_ksads__dud,KSADS - Drug Use Disorders [Parent],,,,,summary score,character,nominal,,,,,,,,abcd_ksad01 | ksads2daic_use_only_p01,mh_p_ksads_ss,,ksads_20_879_p | ksads2_20_837_p,ksads2_20_837_p,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/su.html#su_p_ksads__dud,,,,,,su_p_ksads__dud__illdrg__pres_dx,su_p_ksads_dud_0343,participant_id | session_id,,,,343
